species,factor,value,score
Populus tremula,dams,12,1
Populus tremula,dams,14,0.8
Populus tremula,dams,16,0.6
Populus tremula,dams,18,0.5
Populus tremula,dams,20,NA
Populus tremula,dams,22,NA
Populus tremula,dams,24,NA
Populus nigra,dams,2,1
Populus nigra,dams,4,1
Populus nigra,dams,6,1
Populus nigra,dams,8,1
Populus nigra,dams,10,1
Populus nigra,dams,12,1
Populus nigra,dams,14,0.8
Populus nigra,dams,16,0.6
Populus nigra,dams,18,0.5
Populus nigra,dams,20,NA
Populus nigra,dams,22,NA
Populus nigra,dams,24,NA
Alnus glutinosa,dams,2,1
Alnus glutinosa,dams,4,1
Alnus glutinosa,dams,6,1
Alnus glutinosa,dams,8,1
Alnus glutinosa,dams,10,1
Alnus glutinosa,dams,12,1
Alnus glutinosa,dams,14,0.9
Alnus glutinosa,dams,16,0.7
Alnus glutinosa,dams,18,0.5
Alnus glutinosa,dams,20,NA
Alnus glutinosa,dams,22,NA
Alnus glutinosa,dams,24,NA
Carpinus betulus,dams,2,1
Carpinus betulus,dams,4,1
Carpinus betulus,dams,6,1
Carpinus betulus,dams,8,1
Carpinus betulus,dams,10,1
Carpinus betulus,dams,12,1
Carpinus betulus,dams,14,0.7
Carpinus betulus,dams,16,0.5
Carpinus betulus,dams,18,NA
Carpinus betulus,dams,20,NA
Carpinus betulus,dams,22,NA
Carpinus betulus,dams,24,NA
Tilia cordata,dams,2,1
Tilia cordata,dams,4,1
Tilia cordata,dams,6,1
Tilia cordata,dams,8,1
Tilia cordata,dams,10,1
Tilia cordata,dams,12,1
Tilia cordata,dams,14,0.8
Tilia cordata,dams,16,0.6
Tilia cordata,dams,18,0.4
Tilia cordata,dams,20,NA
Tilia cordata,dams,22,NA
Tilia cordata,dams,24,NA
Acer platanoides,dams,2,1
Acer platanoides,dams,4,1
Acer platanoides,dams,6,1
Acer platanoides,dams,8,1
Acer platanoides,dams,10,1
Acer platanoides,dams,12,1
Acer platanoides,dams,14,0.7
Acer platanoides,dams,16,0.5
Acer platanoides,dams,18,NA
Acer platanoides,dams,20,NA
Acer platanoides,dams,22,NA
Acer platanoides,dams,24,NA
Prunus avium,dams,2,1
Prunus avium,dams,4,1
Prunus avium,dams,6,1
Prunus avium,dams,8,1
Prunus avium,dams,10,1
Prunus avium,dams,12,1
Prunus avium,dams,14,0.75
Prunus avium,dams,16,0.5
Prunus avium,dams,18,NA
Prunus avium,dams,20,NA
Prunus avium,dams,22,NA
Prunus avium,dams,24,NA
Nothofagus procera,dams,2,1
Nothofagus procera,dams,4,1
Nothofagus procera,dams,6,1
Nothofagus procera,dams,8,1
Nothofagus procera,dams,10,1
Nothofagus procera,dams,12,1
Nothofagus procera,dams,14,0.7
Nothofagus procera,dams,16,0.5
Nothofagus procera,dams,18,NA
Nothofagus procera,dams,20,NA
Nothofagus procera,dams,22,NA
Nothofagus procera,dams,24,NA
Pinus pinaster,dams,2,1
Pinus pinaster,dams,4,1
Pinus pinaster,dams,6,1
Pinus pinaster,dams,8,1
Pinus pinaster,dams,10,1
Pinus pinaster,dams,12,1
Pinus pinaster,dams,14,0.75
Pinus pinaster,dams,16,0.5
Pinus pinaster,dams,18,NA
Pinus pinaster,dams,20,NA
Pinus pinaster,dams,22,NA
Pinus pinaster,dams,24,NA
Pinus radiata,dams,2,1
Pinus radiata,dams,4,1
Pinus radiata,dams,6,1.1
Pinus radiata,dams,8,1.2
Pinus radiata,dams,10,1.1
Pinus radiata,dams,12,1.05
Pinus radiata,dams,14,1
Pinus radiata,dams,16,0.75
Pinus radiata,dams,18,0.5
Pinus radiata,dams,20,NA
Pinus radiata,dams,22,NA
Pinus radiata,dams,24,NA
Pinus strobus,dams,2,1.1
Pinus strobus,dams,4,1.2
Pinus strobus,dams,6,1.3
Pinus strobus,dams,8,1.2
Pinus strobus,dams,10,1.1
Pinus strobus,dams,12,1
Pinus strobus,dams,14,0.75
Pinus strobus,dams,16,0.5
Pinus strobus,dams,18,0.3
Pinus strobus,dams,20,0.2
Pinus strobus,dams,22,0.1
Pinus strobus,dams,24,NA
Picea omorika,dams,2,1
Picea omorika,dams,4,1
Picea omorika,dams,6,1
Picea omorika,dams,8,1
Picea omorika,dams,10,0.95
Picea omorika,dams,12,0.85
Picea omorika,dams,14,0.7
Picea omorika,dams,16,0.6
Picea omorika,dams,18,NA
Picea omorika,dams,20,NA
Picea omorika,dams,22,NA
Picea omorika,dams,24,NA
Picea orientalis,dams,2,1
Picea orientalis,dams,4,1
Picea orientalis,dams,6,1
Picea orientalis,dams,8,1
Picea orientalis,dams,10,1
Picea orientalis,dams,12,0.9
Picea orientalis,dams,14,0.7
Picea orientalis,dams,16,0.5
Picea orientalis,dams,18,NA
Picea orientalis,dams,20,NA
Picea orientalis,dams,22,NA
Picea orientalis,dams,24,NA
Abies grandis,dams,2,1
Abies grandis,dams,4,1
Abies grandis,dams,6,1
Abies grandis,dams,8,1
Abies grandis,dams,10,0.95
Abies grandis,dams,12,0.8
Abies grandis,dams,14,0.75
Abies grandis,dams,16,0.5
Abies grandis,dams,18,NA
Abies grandis,dams,20,NA
Abies grandis,dams,22,NA
Abies grandis,dams,24,NA
Abies alba,dams,2,1
Abies alba,dams,4,1
Abies alba,dams,6,1
Abies alba,dams,8,1
Abies alba,dams,10,1
Abies alba,dams,12,1
Abies alba,dams,14,0.8
Abies alba,dams,16,0.6
Abies alba,dams,18,0.4
Abies alba,dams,20,NA
Abies alba,dams,22,NA
Abies alba,dams,24,NA
Abies nordmanniana,dams,2,1
Abies nordmanniana,dams,4,1
Abies nordmanniana,dams,6,1
Abies nordmanniana,dams,8,1
Abies nordmanniana,dams,10,1
Abies nordmanniana,dams,12,1
Abies nordmanniana,dams,14,0.9
Abies nordmanniana,dams,16,0.7
Abies nordmanniana,dams,18,NA
Abies nordmanniana,dams,20,NA
Abies nordmanniana,dams,22,NA
Abies nordmanniana,dams,24,NA
Sequoiadendron giganteum,dams,2,1
Sequoiadendron giganteum,dams,4,1
Sequoiadendron giganteum,dams,6,1
Sequoiadendron giganteum,dams,8,1
Sequoiadendron giganteum,dams,10,1
Sequoiadendron giganteum,dams,12,0.9
Sequoiadendron giganteum,dams,14,0.75
Sequoiadendron giganteum,dams,16,0.6
Sequoiadendron giganteum,dams,18,0.5
Sequoiadendron giganteum,dams,20,NA
Sequoiadendron giganteum,dams,22,NA
Sequoiadendron giganteum,dams,24,NA
Cryptomeria japonica,dams,2,1
Cryptomeria japonica,dams,4,1.1
Cryptomeria japonica,dams,6,1.1
Cryptomeria japonica,dams,8,1
Cryptomeria japonica,dams,10,0.9
Cryptomeria japonica,dams,12,0.75
Cryptomeria japonica,dams,14,0.6
Cryptomeria japonica,dams,16,NA
Cryptomeria japonica,dams,18,NA
Cryptomeria japonica,dams,20,NA
Cryptomeria japonica,dams,22,NA
Cryptomeria japonica,dams,24,0
Chamaecyparis lawsoniana,dams,2,1
Chamaecyparis lawsoniana,dams,4,1
Chamaecyparis lawsoniana,dams,6,1
Chamaecyparis lawsoniana,dams,8,1
Chamaecyparis lawsoniana,dams,10,1
Chamaecyparis lawsoniana,dams,12,0.85
Chamaecyparis lawsoniana,dams,14,0.7
Chamaecyparis lawsoniana,dams,16,NA
Chamaecyparis lawsoniana,dams,18,NA
Chamaecyparis lawsoniana,dams,20,NA
Chamaecyparis lawsoniana,dams,22,NA
Chamaecyparis lawsoniana,dams,24,NA
Cupressocyparis x leyandii,dams,2,1
Cupressocyparis x leyandii,dams,4,1
Cupressocyparis x leyandii,dams,6,1
Cupressocyparis x leyandii,dams,8,1
Cupressocyparis x leyandii,dams,10,1
Cupressocyparis x leyandii,dams,12,0.9
Cupressocyparis x leyandii,dams,14,NA
Cupressocyparis x leyandii,dams,16,0.5
Cupressocyparis x leyandii,dams,18,NA
Cupressocyparis x leyandii,dams,20,NA
Cupressocyparis x leyandii,dams,22,NA
Cupressocyparis x leyandii,dams,24,NA
Sequoia sempervirens C,dams,2,1.1
Sequoia sempervirens C,dams,4,1.1
Sequoia sempervirens C,dams,6,1.1
Sequoia sempervirens C,dams,8,1.1
Sequoia sempervirens C,dams,10,1
Sequoia sempervirens C,dams,12,0.9
Sequoia sempervirens C,dams,14,0.8
Sequoia sempervirens C,dams,16,0.7
Sequoia sempervirens C,dams,18,0.5
Sequoia sempervirens C,dams,20,NA
Sequoia sempervirens C,dams,22,NA
Sequoia sempervirens C,dams,24,0
Alnus rubra,dams,2,1
Alnus rubra,dams,4,1
Alnus rubra,dams,6,1
Alnus rubra,dams,8,1
Alnus rubra,dams,10,1
Alnus rubra,dams,12,1
Alnus rubra,dams,14,1
Alnus rubra,dams,16,0.75
Alnus rubra,dams,18,NA
Alnus rubra,dams,20,NA
Alnus rubra,dams,22,NA
Alnus rubra,dams,24,NA
Alnus cordata,dams,2,1.1
Alnus cordata,dams,4,1.1
Alnus cordata,dams,6,1.1
Alnus cordata,dams,8,1.1
Alnus cordata,dams,10,1.05
Alnus cordata,dams,12,1
Alnus cordata,dams,14,0.75
Alnus cordata,dams,16,0.5
Alnus cordata,dams,18,NA
Alnus cordata,dams,20,NA
Alnus cordata,dams,22,NA
Alnus cordata,dams,24,NA
Alnus incana,dams,2,1.1
Alnus incana,dams,4,1.2
Alnus incana,dams,6,1.3
Alnus incana,dams,8,1.2
Alnus incana,dams,10,1.1
Alnus incana,dams,12,1
Alnus incana,dams,14,1
Alnus incana,dams,16,0.9
Alnus incana,dams,18,0.8
Alnus incana,dams,20,0.7
Alnus incana,dams,22,0.5
Alnus incana,dams,24,NA
Eucalyptus gunnii,dams,2,1.1
Eucalyptus gunnii,dams,4,1.1
Eucalyptus gunnii,dams,6,1.1
Eucalyptus gunnii,dams,8,1.1
Eucalyptus gunnii,dams,10,1.1
Eucalyptus gunnii,dams,12,1
Eucalyptus gunnii,dams,14,0.9
Eucalyptus gunnii,dams,16,0.65
Eucalyptus gunnii,dams,18,NA
Eucalyptus gunnii,dams,20,NA
Eucalyptus gunnii,dams,22,NA
Eucalyptus gunnii,dams,24,NA
Euclayptus nitens,dams,2,1.1
Euclayptus nitens,dams,4,1.1
Euclayptus nitens,dams,6,1.1
Euclayptus nitens,dams,8,1.1
Euclayptus nitens,dams,10,1.1
Euclayptus nitens,dams,12,1
Euclayptus nitens,dams,14,0.85
Euclayptus nitens,dams,16,0.7
Euclayptus nitens,dams,18,0.5
Euclayptus nitens,dams,20,NA
Euclayptus nitens,dams,22,NA
Euclayptus nitens,dams,24,NA
Nothofagus obliqua,dams,2,1.1
Nothofagus obliqua,dams,4,1.1
Nothofagus obliqua,dams,6,1.1
Nothofagus obliqua,dams,8,1.1
Nothofagus obliqua,dams,10,1.1
Nothofagus obliqua,dams,12,1
Nothofagus obliqua,dams,14,0.85
Nothofagus obliqua,dams,16,0.6
Nothofagus obliqua,dams,18,NA
Nothofagus obliqua,dams,20,NA
Nothofagus obliqua,dams,22,NA
Nothofagus obliqua,dams,24,NA
Quercus rubra,dams,2,1
Quercus rubra,dams,4,1
Quercus rubra,dams,6,1
Quercus rubra,dams,8,1
Quercus rubra,dams,10,1
Quercus rubra,dams,12,0.9
Quercus rubra,dams,14,0.75
Quercus rubra,dams,16,0.6
Quercus rubra,dams,18,0.4
Quercus rubra,dams,20,NA
Quercus rubra,dams,22,NA
Quercus rubra,dams,24,NA
Acer macrophyllum,dams,2,1
Acer macrophyllum,dams,4,1
Acer macrophyllum,dams,6,1
Acer macrophyllum,dams,8,1
Acer macrophyllum,dams,10,1
Acer macrophyllum,dams,12,0.9
Acer macrophyllum,dams,14,0.7
Acer macrophyllum,dams,16,NA
Acer macrophyllum,dams,18,NA
Acer macrophyllum,dams,20,NA
Acer macrophyllum,dams,22,NA
Acer macrophyllum,dams,24,NA
Sorbus aucuparia,dams,2,1.1
Sorbus aucuparia,dams,4,1.1
Sorbus aucuparia,dams,6,1.1
Sorbus aucuparia,dams,8,1.1
Sorbus aucuparia,dams,10,1.1
Sorbus aucuparia,dams,12,1.1
Sorbus aucuparia,dams,14,1.1
Sorbus aucuparia,dams,16,0.95
Sorbus aucuparia,dams,18,0.8
Sorbus aucuparia,dams,20,0.65
Sorbus aucuparia,dams,22,0.5
Sorbus aucuparia,dams,24,NA
Sorbus torminalis,dams,2,1.1
Sorbus torminalis,dams,4,1.1
Sorbus torminalis,dams,6,1.1
Sorbus torminalis,dams,8,1.1
Sorbus torminalis,dams,10,1
Sorbus torminalis,dams,12,0.9
Sorbus torminalis,dams,14,0.8
Sorbus torminalis,dams,16,0.7
Sorbus torminalis,dams,18,0.6
Sorbus torminalis,dams,20,NA
Sorbus torminalis,dams,22,0.3
Sorbus torminalis,dams,24,NA
Sorbus domestica,dams,2,1
Sorbus domestica,dams,4,1
Sorbus domestica,dams,6,1
Sorbus domestica,dams,8,1
Sorbus domestica,dams,10,1
Sorbus domestica,dams,12,0.85
Sorbus domestica,dams,14,0.7
Sorbus domestica,dams,16,NA
Sorbus domestica,dams,18,NA
Sorbus domestica,dams,20,NA
Sorbus domestica,dams,22,NA
Sorbus domestica,dams,24,NA
Juglans regia,dams,2,1
Juglans regia,dams,4,1
Juglans regia,dams,6,1
Juglans regia,dams,8,1
Juglans regia,dams,10,0.9
Juglans regia,dams,12,NA
Juglans regia,dams,14,NA
Juglans regia,dams,16,0.5
Juglans regia,dams,18,NA
Juglans regia,dams,20,NA
Juglans regia,dams,22,NA
Juglans regia,dams,24,NA
Juglans nigra,dams,2,1.1
Juglans nigra,dams,4,1.1
Juglans nigra,dams,6,1.1
Juglans nigra,dams,8,1.1
Juglans nigra,dams,10,1
Juglans nigra,dams,12,0.9
Juglans nigra,dams,14,0.8
Juglans nigra,dams,16,0.7
Juglans nigra,dams,18,0.5
Juglans nigra,dams,20,NA
Juglans nigra,dams,22,NA
Juglans nigra,dams,24,NA
Picea sitchensis,smr,0,0
Picea sitchensis,smr,1,0.2
Picea sitchensis,smr,2,0.5
Picea sitchensis,smr,3,0.75
Picea sitchensis,smr,4,1
Picea sitchensis,smr,5,0.9
Picea sitchensis,smr,6,0.75
Picea sitchensis,smr,7,0.5
Picea sitchensis,smr,8,0.2
Picea abies,smr,0,NA
Picea abies,smr,1,0
Picea abies,smr,2,0.3
Picea abies,smr,3,0.75
Picea abies,smr,4,1
Picea abies,smr,5,1
Picea abies,smr,6,0.75
Picea abies,smr,7,0.5
Picea abies,smr,8,0
Pinus sylvestris,smr,0,0
Pinus sylvestris,smr,1,0.1
Pinus sylvestris,smr,2,0.3
Pinus sylvestris,smr,3,0.5
Pinus sylvestris,smr,4,0.75
Pinus sylvestris,smr,5,1
Pinus sylvestris,smr,6,1
Pinus sylvestris,smr,7,1
Pinus sylvestris,smr,8,0.75
Pinus nigra ssp. Laricio,smr,0,0
Pinus nigra ssp. Laricio,smr,1,NA
Pinus nigra ssp. Laricio,smr,2,0
Pinus nigra ssp. Laricio,smr,3,0.3
Pinus nigra ssp. Laricio,smr,4,0.6
Pinus nigra ssp. Laricio,smr,5,1
Pinus nigra ssp. Laricio,smr,6,1
Pinus nigra ssp. Laricio,smr,7,0.8
Pinus nigra ssp. Laricio,smr,8,0.5
Pinus contorta,smr,0,0.3
Pinus contorta,smr,1,0.5
Pinus contorta,smr,2,0.75
Pinus contorta,smr,3,1
Pinus contorta,smr,4,1.1
Pinus contorta,smr,5,1.1
Pinus contorta,smr,6,1.1
Pinus contorta,smr,7,1
Pinus contorta,smr,8,0.75
Pinus peuce,smr,0,0
Pinus peuce,smr,1,0.2
Pinus peuce,smr,2,0.5
Pinus peuce,smr,3,0.75
Pinus peuce,smr,4,1.1
Pinus peuce,smr,5,1.1
Pinus peuce,smr,6,0.8
Pinus peuce,smr,7,0.5
Pinus peuce,smr,8,0
Larix decidua,smr,0,0
Larix decidua,smr,1,0
Larix decidua,smr,2,0.1
Larix decidua,smr,3,0.3
Larix decidua,smr,4,0.6
Larix decidua,smr,5,1.1
Larix decidua,smr,6,1.1
Larix decidua,smr,7,0.4
Larix decidua,smr,8,NA
Larix kaempferi,smr,0,0
Larix kaempferi,smr,1,0.1
Larix kaempferi,smr,2,0.3
Larix kaempferi,smr,3,0.5
Larix kaempferi,smr,4,0.85
Larix kaempferi,smr,5,1.1
Larix kaempferi,smr,6,0.74
Larix kaempferi,smr,7,0.3
Larix kaempferi,smr,8,NA
Larix eurolepsis,smr,0,NA
Larix eurolepsis,smr,1,0
Larix eurolepsis,smr,2,0.2
Larix eurolepsis,smr,3,0.5
Larix eurolepsis,smr,4,0.9
Larix eurolepsis,smr,5,1
Larix eurolepsis,smr,6,1
Larix eurolepsis,smr,7,0.7
Larix eurolepsis,smr,8,0.1
Pseudotsuga menziesii,smr,0,NA
Pseudotsuga menziesii,smr,1,NA
Pseudotsuga menziesii,smr,2,NA
Pseudotsuga menziesii,smr,3,NA
Pseudotsuga menziesii,smr,4,0.5
Pseudotsuga menziesii,smr,5,1
Pseudotsuga menziesii,smr,6,1
Pseudotsuga menziesii,smr,7,0.7
Pseudotsuga menziesii,smr,8,0
Abies procera,smr,0,0
Abies procera,smr,1,0
Abies procera,smr,2,0.3
Abies procera,smr,3,0.6
Abies procera,smr,4,1
Abies procera,smr,5,1
Abies procera,smr,6,0.3
Abies procera,smr,7,NA
Abies procera,smr,8,NA
Abies amabilis,smr,0,0
Abies amabilis,smr,1,0
Abies amabilis,smr,2,0
Abies amabilis,smr,3,0.55
Abies amabilis,smr,4,0.9
Abies amabilis,smr,5,1.2
Abies amabilis,smr,6,0.4
Abies amabilis,smr,7,NA
Abies amabilis,smr,8,NA
Tsuga heterophyla,smr,0,NA
Tsuga heterophyla,smr,1,0
Tsuga heterophyla,smr,2,0.2
Tsuga heterophyla,smr,3,0.6
Tsuga heterophyla,smr,4,1
Tsuga heterophyla,smr,5,1.2
Tsuga heterophyla,smr,6,1
Tsuga heterophyla,smr,7,0.6
Tsuga heterophyla,smr,8,0
Thuja plicata,smr,0,0
Thuja plicata,smr,1,0.4
Thuja plicata,smr,2,0.7
Thuja plicata,smr,3,1
Thuja plicata,smr,4,1.1
Thuja plicata,smr,5,1.1
Thuja plicata,smr,6,0.6
Thuja plicata,smr,7,0
Thuja plicata,smr,8,NA
Sequoia sempervirens A1,smr,0,NA
Sequoia sempervirens A1,smr,1,0
Sequoia sempervirens A1,smr,2,0.3
Sequoia sempervirens A1,smr,3,0.7
Sequoia sempervirens A1,smr,4,1.1
Sequoia sempervirens A1,smr,5,1
Sequoia sempervirens A1,smr,6,0.6
Sequoia sempervirens A1,smr,7,0.3
Sequoia sempervirens A1,smr,8,0
Master,smr,0,0
Master,smr,1,NA
Master,smr,2,NA
Master,smr,3,NA
Master,smr,4,NA
Master,smr,5,NA
Master,smr,6,NA
Master,smr,7,NA
Master,smr,8,1
Quercus robur,smr,0,NA
Quercus robur,smr,1,0
Quercus robur,smr,2,0.5
Quercus robur,smr,3,0.9
Quercus robur,smr,4,1.1
Quercus robur,smr,5,1
Quercus robur,smr,6,0.65
Quercus robur,smr,7,0.3
Quercus robur,smr,8,NA
Quercus petraea,smr,0,NA
Quercus petraea,smr,1,NA
Quercus petraea,smr,2,NA
Quercus petraea,smr,3,0.3
Quercus petraea,smr,4,0.6
Quercus petraea,smr,5,1
Quercus petraea,smr,6,1
Quercus petraea,smr,7,0.6
Quercus petraea,smr,8,0
Fagus sylvatica,smr,0,NA
Fagus sylvatica,smr,1,NA
Fagus sylvatica,smr,2,NA
Fagus sylvatica,smr,3,0.3
Fagus sylvatica,smr,4,0.7
Fagus sylvatica,smr,5,0.9
Fagus sylvatica,smr,6,1.1
Fagus sylvatica,smr,7,0.6
Fagus sylvatica,smr,8,0
Fraxinus excelsior,smr,0,NA
Fraxinus excelsior,smr,1,NA
Fraxinus excelsior,smr,2,0.3
Fraxinus excelsior,smr,3,0.6
Fraxinus excelsior,smr,4,1
Fraxinus excelsior,smr,5,1
Fraxinus excelsior,smr,6,0.6
Fraxinus excelsior,smr,7,0
Fraxinus excelsior,smr,8,NA
Acer pseudoplatanus,smr,0,NA
Acer pseudoplatanus,smr,1,NA
Acer pseudoplatanus,smr,2,NA
Acer pseudoplatanus,smr,3,0.6
Acer pseudoplatanus,smr,4,1
Acer pseudoplatanus,smr,5,1
Acer pseudoplatanus,smr,6,0.7
Acer pseudoplatanus,smr,7,0.4
Acer pseudoplatanus,smr,8,0
Ulmus glabra,smr,0,NA
Ulmus glabra,smr,1,NA
Ulmus glabra,smr,2,0
Ulmus glabra,smr,3,0.6
Ulmus glabra,smr,4,1
Ulmus glabra,smr,5,1
Ulmus glabra,smr,6,0.6
Ulmus glabra,smr,7,0
Ulmus glabra,smr,8,NA
Castanea sativa,smr,0,NA
Castanea sativa,smr,1,NA
Castanea sativa,smr,2,NA
Castanea sativa,smr,3,0.1
Castanea sativa,smr,4,0.6
Castanea sativa,smr,5,1
Castanea sativa,smr,6,1
Castanea sativa,smr,7,0.6
Castanea sativa,smr,8,0
Betula pendula,smr,0,NA
Betula pendula,smr,1,NA
Betula pendula,smr,2,0
Betula pendula,smr,3,0.55
Betula pendula,smr,4,0.8
Betula pendula,smr,5,1
Betula pendula,smr,6,1
Betula pendula,smr,7,0.7
Betula pendula,smr,8,0.4
Betula pubescens,smr,0,0.3
Betula pubescens,smr,1,0.6
Betula pubescens,smr,2,0.9
Betula pubescens,smr,3,1
Betula pubescens,smr,4,1
Betula pubescens,smr,5,0.7
Betula pubescens,smr,6,0
Betula pubescens,smr,7,NA
Betula pubescens,smr,8,NA
Populus tremula,smr,0,NA
Populus tremula,smr,1,0
Populus tremula,smr,2,0.7
Populus tremula,smr,3,1
Populus tremula,smr,4,1
Populus tremula,smr,5,1
Populus tremula,smr,6,0.7
Populus tremula,smr,7,NA
Populus tremula,smr,8,NA
Populus nigra,smr,0,0.3
Populus nigra,smr,1,0.6
Populus nigra,smr,2,1
Populus nigra,smr,3,1.1
Populus nigra,smr,4,1
Populus nigra,smr,5,0.6
Populus nigra,smr,6,NA
Populus nigra,smr,7,NA
Populus nigra,smr,8,NA
Alnus glutinosa,smr,0,0.5
Alnus glutinosa,smr,1,0.7
Alnus glutinosa,smr,2,1
Alnus glutinosa,smr,3,1
Alnus glutinosa,smr,4,1
Alnus glutinosa,smr,5,0.6
Alnus glutinosa,smr,6,NA
Alnus glutinosa,smr,7,NA
Alnus glutinosa,smr,8,NA
Carpinus betulus,smr,0,NA
Carpinus betulus,smr,1,NA
Carpinus betulus,smr,2,0.5
Carpinus betulus,smr,3,0.74
Carpinus betulus,smr,4,1
Carpinus betulus,smr,5,1.1
Carpinus betulus,smr,6,1
Carpinus betulus,smr,7,0.65
Carpinus betulus,smr,8,0
Tilia cordata,smr,0,NA
Tilia cordata,smr,1,NA
Tilia cordata,smr,2,NA
Tilia cordata,smr,3,0.6
Tilia cordata,smr,4,1
Tilia cordata,smr,5,1
Tilia cordata,smr,6,0.7
Tilia cordata,smr,7,NA
Tilia cordata,smr,8,NA
Acer platanoides,smr,0,NA
Acer platanoides,smr,1,NA
Acer platanoides,smr,2,NA
Acer platanoides,smr,3,0.65
Acer platanoides,smr,4,1
Acer platanoides,smr,5,1
Acer platanoides,smr,6,1
Acer platanoides,smr,7,0.6
Acer platanoides,smr,8,NA
Prunus avium,smr,0,NA
Prunus avium,smr,1,NA
Prunus avium,smr,2,NA
Prunus avium,smr,3,0.7
Prunus avium,smr,4,1
Prunus avium,smr,5,1
Prunus avium,smr,6,0.6
Prunus avium,smr,7,NA
Prunus avium,smr,8,NA
Nothofagus procera,smr,0,NA
Nothofagus procera,smr,1,NA
Nothofagus procera,smr,2,NA
Nothofagus procera,smr,3,NA
Nothofagus procera,smr,4,0.65
Nothofagus procera,smr,5,1
Nothofagus procera,smr,6,0.65
Nothofagus procera,smr,7,NA
Nothofagus procera,smr,8,NA
Pinus pinaster,smr,0,0
Pinus pinaster,smr,1,0
Pinus pinaster,smr,2,0
Pinus pinaster,smr,3,0.3
Pinus pinaster,smr,4,0.6
Pinus pinaster,smr,5,1.2
Pinus pinaster,smr,6,1.1
Pinus pinaster,smr,7,0.7
Pinus pinaster,smr,8,0.5
Pinus radiata,smr,0,NA
Pinus radiata,smr,1,NA
Pinus radiata,smr,2,0.3
Pinus radiata,smr,3,0.5
Pinus radiata,smr,4,0.9
Pinus radiata,smr,5,1
Pinus radiata,smr,6,1
Pinus radiata,smr,7,0.75
Pinus radiata,smr,8,0.3
Pinus strobus,smr,0,NA
Pinus strobus,smr,1,NA
Pinus strobus,smr,2,NA
Pinus strobus,smr,3,NA
Pinus strobus,smr,4,0.5
Pinus strobus,smr,5,1.2
Pinus strobus,smr,6,1.1
Pinus strobus,smr,7,0.5
Pinus strobus,smr,8,0
Picea omorika,smr,0,NA
Picea omorika,smr,1,NA
Picea omorika,smr,2,0.5
Picea omorika,smr,3,0.75
Picea omorika,smr,4,1
Picea omorika,smr,5,1
Picea omorika,smr,6,0.7
Picea omorika,smr,7,0.3
Picea omorika,smr,8,NA
Picea orientalis,smr,0,NA
Picea orientalis,smr,1,NA
Picea orientalis,smr,2,NA
Picea orientalis,smr,3,0.6
Picea orientalis,smr,4,1
Picea orientalis,smr,5,1.1
Picea orientalis,smr,6,1
Picea orientalis,smr,7,0.6
Picea orientalis,smr,8,NA
Abies grandis,smr,0,NA
Abies grandis,smr,1,NA
Abies grandis,smr,2,NA
Abies grandis,smr,3,0.6
Abies grandis,smr,4,1
Abies grandis,smr,5,1
Abies grandis,smr,6,0.4
Abies grandis,smr,7,NA
Abies grandis,smr,8,NA
Abies alba,smr,0,NA
Abies alba,smr,1,NA
Abies alba,smr,2,NA
Abies alba,smr,3,0.6
Abies alba,smr,4,1
Abies alba,smr,5,1
Abies alba,smr,6,0.6
Abies alba,smr,7,NA
Abies alba,smr,8,NA
Abies nordmanniana,smr,0,NA
Abies nordmanniana,smr,1,NA
Abies nordmanniana,smr,2,NA
Abies nordmanniana,smr,3,0.65
Abies nordmanniana,smr,4,1
Abies nordmanniana,smr,5,1
Abies nordmanniana,smr,6,0.7
Abies nordmanniana,smr,7,0
Abies nordmanniana,smr,8,NA
Sequoiadendron giganteum,smr,0,NA
Sequoiadendron giganteum,smr,1,NA
Sequoiadendron giganteum,smr,2,NA
Sequoiadendron giganteum,smr,3,NA
Sequoiadendron giganteum,smr,4,0.74
Sequoiadendron giganteum,smr,5,1.1
Sequoiadendron giganteum,smr,6,1
Sequoiadendron giganteum,smr,7,0.5
Sequoiadendron giganteum,smr,8,NA
Cryptomeria japonica,smr,0,NA
Cryptomeria japonica,smr,1,NA
Cryptomeria japonica,smr,2,NA
Cryptomeria japonica,smr,3,0.65
Cryptomeria japonica,smr,4,1.1
Cryptomeria japonica,smr,5,1.1
Cryptomeria japonica,smr,6,0.65
Cryptomeria japonica,smr,7,NA
Cryptomeria japonica,smr,8,NA
Chamaecyparis lawsoniana,smr,0,NA
Chamaecyparis lawsoniana,smr,1,NA
Chamaecyparis lawsoniana,smr,2,0.6
Chamaecyparis lawsoniana,smr,3,1
Chamaecyparis lawsoniana,smr,4,1.1
Chamaecyparis lawsoniana,smr,5,1
Chamaecyparis lawsoniana,smr,6,0.6
Chamaecyparis lawsoniana,smr,7,NA
Chamaecyparis lawsoniana,smr,8,NA
Cupressocyparis x leyandii,smr,0,NA
Cupressocyparis x leyandii,smr,1,NA
Cupressocyparis x leyandii,smr,2,NA
Cupressocyparis x leyandii,smr,3,0.6
Cupressocyparis x leyandii,smr,4,1
Cupressocyparis x leyandii,smr,5,1.2
Cupressocyparis x leyandii,smr,6,1
Cupressocyparis x leyandii,smr,7,0.5
Cupressocyparis x leyandii,smr,8,NA
Sequoia sempervirens C,smr,0,NA
Sequoia sempervirens C,smr,1,NA
Sequoia sempervirens C,smr,2,NA
Sequoia sempervirens C,smr,3,0.65
